,name,link
88,Manoj Kumar,"https://m.media-amazon.com/images/M/MV5BMzUxNTM4MzQ4N15BMl5BanBnXkFtZTgwMjY1ODA0OTE@._V1_UY209_CR34,0,140,209_AL_.jpg"
89,Nassar,"https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_UY209_CR87,0,140,209_AL_.jpg"
90,Naseeruddin Shah,"https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY209_CR12,0,140,209_AL_.jpg"
91,Nandita Das,"https://m.media-amazon.com/images/M/MV5BMTA2NzUwMTAxMDBeQTJeQWpwZ15BbWU4MDQ0MTEyNTEx._V1_UY209_CR0,0,140,209_AL_.jpg"
92,Nagarjuna Akkineni,"https://m.media-amazon.com/images/M/MV5BMDE5ZTgzN2QtODQzMi00NzYxLWI3ZmMtMzAxNWM0OGM1YjM0XkEyXkFqcGdeQXVyNzc4NzEwNTc@._V1_UY209_CR82,0,140,209_AL_.jpg"
93,Nana Patekar,"https://m.media-amazon.com/images/M/MV5BMjI4MzQyODYwOF5BMl5BanBnXkFtZTgwMTcxMTIzOTE@._V1_UY209_CR87,0,140,209_AL_.jpg"
94,Nawazuddin Siddiqui,"https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
95,Nargis,"https://m.media-amazon.com/images/M/MV5BMTY1NzE0ODkzNl5BMl5BanBnXkFtZTcwMDQ2OTAzMQ@@._V1_UY209_CR5,0,140,209_AL_.jpg"
96,Nirupa Roy,"https://m.media-amazon.com/images/M/MV5BNGYxMTdjY2MtMDkzYS00ZGJlLTljZTgtYjlhZGVhYTNhMTE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR7,0,140,209_AL_.jpg"
97,Nutan,"https://m.media-amazon.com/images/M/MV5BMTM0MDI4NDIzOV5BMl5BanBnXkFtZTcwNDY1NTAzMQ@@._V1_UY209_CR7,0,140,209_AL_.jpg"
98,Neeraj Kabi,"https://m.media-amazon.com/images/M/MV5BZTJlZWZiMmUtNTQ0MS00NzliLWI3YjAtNzhiNjVhNWQ2MDExXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR1,0,140,209_AL_.jpg"
99,Navin Nischol,"https://m.media-amazon.com/images/M/MV5BNzY5NWIxMDItMzZkNi00YzNiLTkyMWQtZDJlNzEwODA2MDNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR5,0,140,209_AL_.jpg"
100,list image,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png
101,Nafisa Ali,"https://m.media-amazon.com/images/M/MV5BNDBkYTI0OWMtNmMzOC00MDc5LTgwNGEtZTQ1MGQ2MWViNjAxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR34,0,140,209_AL_.jpg"
102,Om Puri,"https://m.media-amazon.com/images/M/MV5BMTc4MjA5ODY4NF5BMl5BanBnXkFtZTcwNjUyMDUxMQ@@._V1_UY209_CR6,0,140,209_AL_.jpg"
103,Om Prakash,"https://m.media-amazon.com/images/M/MV5BMWE3OTM3ODMtZGIzZC00YjU3LWIyZmItOGYxNDA3Mzg4NTk3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR13,0,140,209_AL_.jpg"
104,Pankaj Tripathi,"https://m.media-amazon.com/images/M/MV5BNjdlYjllOGMtYzU1OC00ODZjLWEzOGEtMGViOTYyYjU3YmJiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg"
105,Pran,"https://m.media-amazon.com/images/M/MV5BMTQ1MDc2Mjc2OF5BMl5BanBnXkFtZTcwMTc1MDU4OQ@@._V1_UY209_CR6,0,140,209_AL_.jpg"
106,Paresh Rawal,"https://m.media-amazon.com/images/M/MV5BMjI4Mjg2MjgxMV5BMl5BanBnXkFtZTgwNDYyMTIzOTE@._V1_UY209_CR88,0,140,209_AL_.jpg"
107,Priyanka Chopra,"https://m.media-amazon.com/images/M/MV5BMjAxNzUwNjExOV5BMl5BanBnXkFtZTcwNDUyMTUxNw@@._V1_UY209_CR70,0,140,209_AL_.jpg"
108,Prakash Raj,"https://m.media-amazon.com/images/M/MV5BMjQ2MjA4NjU0MF5BMl5BanBnXkFtZTgwMTgwMDMzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
109,Prabhas,"https://m.media-amazon.com/images/M/MV5BMjliZmI3YmMtYWU1NS00MjVlLTkxZTQtYjIzYzFkNWNjOTZkXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX140_CR0,0,140,209_AL_.jpg"
110,Pankaj Kapur,"https://m.media-amazon.com/images/M/MV5BZTY2NjI0ZjYtMDM2My00ZjE1LWFiNmQtYWI3OGY2NDgwNTE3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg"
111,Prabhu Deva,"https://m.media-amazon.com/images/M/MV5BMTY4MzAyODE3NV5BMl5BanBnXkFtZTcwMjM3Mjc4OQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
112,Prem Chopra,"https://m.media-amazon.com/images/M/MV5BM2U2OTEzM2UtMjhlNC00NTYxLWI5MDItM2RjYzNhYmNhYWFmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg"
113,Pooja Bhatt,"https://m.media-amazon.com/images/M/MV5BNTkxOTIwNzYxMl5BMl5BanBnXkFtZTgwMDE5OTczOTE@._V1_UX140_CR0,0,140,209_AL_.jpg"
114,Pavan Malhotra,"https://m.media-amazon.com/images/M/MV5BNDlkYzllMDktZDk5OC00NWM5LTgzM2ItMmYxYTM4ZmMwODQ4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR9,0,140,209_AL_.jpg"
115,Piyush Mishra,"https://m.media-amazon.com/images/M/MV5BMDc5MGFlZTMtMmQ1Zi00YjkxLWE3ZGItZGNkNTExYjJhNGFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR9,0,140,209_AL_.jpg"
116,Prashant Narayanan,"https://m.media-amazon.com/images/M/MV5BNjFlYjBjY2ItMGIxMi00ZTAzLThhMmEtM2M2NDk0OWViYmFlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10,0,140,209_AL_.jpg"
117,Rahul Dev,"https://m.media-amazon.com/images/M/MV5BZjQxMTRhNzktZmM4OS00ZmZlLTkxYzYtMmI1ZWMzNTFmMTdkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR13,0,140,209_AL_.jpg"
